Код;Наименование;ИНН;КПП;Адрес;Телефон;email;Сайт;Дополнительно
1223;Межрайонная ИФНС России № 6 по Республике Марий Эл;1217003143;121701001;,425350,Марий Эл Респ,,Козьмодемьянск г,,Гагарина ул,61,,;(836 32) 9-24-05, (836 32) 9-24-07;i121700@r12.nalog.ru;-;Код ОКПО:24981184, Режим работы с 8.00 до 17.00, Обслуживание налогоплательщиков без перерыва: пн., чт. с 08.00 до 20.00, вт., ср., пт. с 09.00 до 17.00, пт. с 09.00 до 17.00, 1-я и 3-я суббота месяца с 10.00 до 15.00
1224;Межрайонная ИФНС России № 4 по Республике Марий Эл;1216011085;121601001;,425000,Марий Эл Респ,,Волжск г,,Чапаева ул,7,,;(836 31) 5-84-00, (836 31) 6-16-96;i121600@r12.nalog.ru;-;Код ОКПО:24981907, Режим работы с 8.00 до 17.00, Обслуживание налогоплательщиков без перерыва: пн., ср. с 09.00 до 18.00, вт., чт. с 09.00 до 20.00, пт. с 09.00 до 16.45, 1-я и 3-я суббота месяца с 10.00 до 15.00
1225;Межрайонная ИФНС России № 2 по Республике Марий Эл;1203000872;120301001;,425060,Марий Эл Респ,Звениговский р-н,Звенигово г,,Ленина ул,39,,;(836 45) 6-84-01, (836 45)7-25-79;i120300@r12.nalog.ru;-;Код ОКПО:24981741, Режим работы с 8.00 до 17.00, Обслуживание налогоплательщиков без перерыва: пн.- чт. с 08.00 до 18.00, пт. с 09.00 до 16.45, 1-я и 3-я суббота месяца с 10.00 до 15.00
1226;Межрайонная ИФНС России № 3 по Республике Марий Эл;1212003478;121201001;,425450,Марий Эл Респ,Сернурский р-н,,Сернур рп,Конакова ул,11,,;(836 33) 9-94-52, (836 33) 9-94-90;i121200@r12.nalog.ru;-;Код ОКПО:24981586, Режим работы с 8.00 до 17.00, Обслуживание налогоплательщиков без перерыва: пн.- чт. с 08.00 до 18.00, пт. с 09.00 до 16.45, 2-я и 4-я суббота месяца с 10.00 до 15.00
1300;УФНС России по Республике Мордовия;1325050006;132601001;430000,,,Саранск г,,Московская ул,3,1,;8342-281800, телефон горячей линии - 8342-473668;u13@r13.nalog.ru;http://www.r13.nalog.ru/;Код ОКПО:21659460. Режим работы: с 8.30 по 17.30, в пятницу с 8.30 до 16.45, перерыв на обед с 13.00 по 13.45, выходные: суббота, воскресенье.
1308;Межрайонная ИФНС России № 6 по Республике Мордовия;1308081484;130801001;431110,Мордовия Респ,,,Зубово-Поляна п,Новикова-Прибоя ул,8,,;"83458-25096, телефон ""горячей линии"" - 834 58-21370";i130800@m08.r13.nalog.ru;-;Код ОКПО:57561511. Режим работы: пн.,вт.,ср.,чт. с 8:30 до 17:45, пт. с 8.30 до 16.30, обед с 13:00 до 14:00, выходные: субб, воскр. Опер.зал работает по вт. и чт. с 08.30 до 20.00, 1-я и 3-я субб. месяца - с 10.00 до 15.00.
1310;Межрайонная ИФНС России № 4 по Республике Мордовия;1310086419;131001001;,431640, Мордовия Респ,,, Кемля с, Больничный пер, д 13,,;"83433-30140, телефон ""горячей линии"" - 83433-30330";i131000@m10.r13.nalog.ru;-;Код ОКПО:57561149. Режим работы: пн.,вт.,ср.,чт. с 8:30 до 17:30, пт. с 8.30 до 16.15, обед с 13:00 до 13:45, выходные: субб, воскр. Опер.зал работает по вт. и чт. с 08.30 до 20.00, 1-я и 3-я субб. месяца - с 10.00 до 15.00.
1314;Межрайонная ИФНС России № 7 по Республике Мордовия;1314097122;131401001;,431260, Мордовия Респ,, Краснослободск г,, Ленина ул, д 2,,;"83443-20600, телефон ""горячей линии"" - 83443-20613";i131400@m14.r13.nalog.ru;-;Код ОКПО:71748268. Режим работы: пн.,вт.,ср.,чт, пт. с 8:30 до 17:30, обед с 13:00 до 14:00, выходные: субб, воскр. Опер.зал работает по вт. и чт. с 08.30 до 20.00, 1-я и 3-я субб. месяца - с 10.00 до 15.00.
1322;Межрайонная ИФНС России № 3 по Республике Мордовия;1322119980;132201001;,431700, Мордовия Респ,,, Чамзинка рп, Победы ул, д 10,,;"883437-21262, телефон ""горячей линии"" - 83437-22919";i132200@m22.r13.nalog.ru;-;Код ОКПО:71747955. Режим работы: пн.,вт.,ср.,чт. с 8:30 до 17:30, пт. с 8.30 до 16.15, обед с 13:00 до 13:45, выходные: субб, воскр. Опер.зал работает по вт. и чт. с 08.30 до 20.00, 1-я и 3-я субб. месяца - с 10.00 до 15.00.
1323;Межрайонная ИФНС России № 5 по Республике Мордовия;1323121950;132301001;,431350, Мордовия Респ,, Ковылкино г,, Пархоменко ул, д 4, корп а,;83453-40362, телефон горячей линии - 83453-22542;i132300@m23.r13.nalog.ru;-;Код ОКПО:57556125. Режим работы: пн.,вт.,ср.,чт., пт. с 8:30 до 17:30, обед с 13:00 до 14:00, выходные: субб, воскр. Опер.зал работает по вт. и чт. с 08.30 до 20.00, 1-я и 3-я субб. месяца - с 10.00 до 15.00.
1324;Межрайонная ИФНС России № 2 по Республике Мордовия;1324125298;132401001;431450,Мордовия Респ,,Рузаевка г,,Гагарина ул,24,а,;"83451-40875, телефон ""горячей линии"" - 83451-40649";i132400@m24.r13.nalog.ru;-;Код ОКПО:51153030. Режим работы: с 8:30 по 17:30, перерыв на обед с 13:00 по 13:45, выходной суббота, воскресенье
1326;ИФНС России по Ленинскому району г. Саранска;1326134509;132601001;,430005,,, Саранск г,, Советская ул, д 7,,;"88342-328609, телефоны ""горяч. линии"" - 8342- 244655, 232490";i132600@m26.r13.nalog.ru;-;Код ОКПО:27800467. Режим работы: пн.,вт.,ср.,чт. с 8:30 до 17:30, пт. с 8.30 до 16.15, обед с 13:00 до 13:45, выходные: субб, воскр.
1327;Межрайонная ИФНС России № 1 по Республике Мордовия;1327155572;132701001;,430017,,, Саранск г,, Веселовского ул, д 38а,,;"88342-765138, телефон ""горячей линии"" - 8342-731310";i132700@m27.r13.nalog.ru;-;Код ОКПО:57561534. Режим работы: пн.,вт.,ср.,чт. с 8:30 до 17:30, пт. с 8.30 до 16.30, обед с 13:00 до 13:48, выходные: субб, воскр. Опер.зал работает по вт. и чт. с 08.30 до 20.00, 1-я и 3-я субб. месяца - с 10.00 до 15.00.
1328;ИФНС России по Октябрьскому району г. Саранска;1328170005;132801001;,430033,,, Саранск г,, Гожувская ул, д 36, корп а,;"88342-568803, телефон ""горячей линии"" - 8342-558323";i132800@m28.r13.nalog.ru;-;Код ОКПО:57561575. Режим работы: пн.,вт.,ср.,чт. с 8:30 до 17:30, пт. с 8.30 до 16.15, обед с 13:00 до 13:45, выходные: субб, воскр. Опер.зал работает по вт. и чт. с 08.30 до 20.00, 1-я и 3-я субб. месяца - с 10.00 до 15.00.
1400;Управление ФНС России по Республике Саха (Якутия);1435153396;143501001;,677018,Саха (Якутия) Респ,,Якутск г,,Губина ул,2,,;(411-2) 39-30-00;u14@r14.nalog.ru;www.r14.nalog.ru;Код ОКПО:34166864. Режим работы с 9.00 по 18.00. Перерыв с 13.00 до 14.00. Выходной: суббота, воскресенье.
1402;ИФНС России по Алданскому району Республики Саха (Якутия);1402003388;140201001;,678900,Саха (Якутия) Респ,Алданский у,Алдан г,,Дзержинского ул,21,б,;(411-45) 3-15-55;i140200@r14.nalog.ru;-;Код ОКПО:34167792. Режим работы с 9.00 по 18.00. Перерыв с 13.00 до 14.00. Вторник, четверг -с 9.00 до 20.00. Каждую первую и третью субботу месяца - с 10.00 до 15.00 без перерыва на обед. Выходной: суббота, воскресенье
1426;Межрайонная ИФНС России № 9 по Республике Саха (Якутия);1426000629;142601001;,678720,Саха (Якутия) Респ,Томпонский у,,Хандыга пгт,Мира ул,12,,;(411-53) 4-14-84;i142600@r14.nalog.ru;-;Код ОКПО:34167088. Режим работы с 9.00 по 18.00. Перерыв с 13.00 до 14.00. Вторник, четверг -с 9.00 до 20.00. Каждую первую и третью субботу месяца - с 10.00 до 15.00 без перерыва на обед. Выходной: суббота, воскресенье.
